,timestamp,open,high,low,close,volume
45,2025-10-10,288.9700,290.3850,277.5000,277.8200,4508506
46,2025-10-09,289.8200,290.1300,283.3200,288.2300,4912375
47,2025-10-08,294.1600,294.2000,286.4730,289.4600,5297030
48,2025-10-07,295.5500,301.0425,293.2850,293.8700,7190126
49,2025-10-06,288.6100,291.4500,287.8000,289.4200,2881947
50,2025-10-03,287.5000,293.3200,287.3000,288.3700,4375082
51,2025-10-02,285.7900,288.5400,282.7900,286.7200,3814232
52,2025-10-01,280.2000,286.5900,280.1500,286.4900,4381338
53,2025-09-30,280.8800,286.0250,280.5200,282.1600,5926924
54,2025-09-29,286.0000,286.0000,279.6600,279.8000,6022125
55,2025-09-26,280.5100,288.8500,280.1100,284.3100,9063938
56,2025-09-25,272.9350,284.2300,271.1480,281.4400,11506192
57,2025-09-24,272.6200,273.6499,267.3000,267.5300,3159924
58,2025-09-23,272.7000,273.2962,269.2650,272.2400,5394121
59,2025-09-22,266.6200,272.3100,266.0000,271.3700,5030540
60,2025-09-19,266.0500,267.8700,263.6400,266.4000,9858112
61,2025-09-18,258.8600,265.2300,256.8004,265.0000,4988421
62,2025-09-17,257.4950,260.9644,257.0100,259.0800,3974785
63,2025-09-16,256.2600,258.0000,254.4100,257.5200,2719918
64,2025-09-15,254.0200,259.0500,254.0000,256.2400,4028365
65,2025-09-12,256.9500,257.2500,252.4250,253.4400,3433300
66,2025-09-11,257.5600,258.5450,255.6550,257.0100,3576048
67,2025-09-10,259.6500,260.0800,254.5600,256.8800,5185420
68,2025-09-09,256.1200,260.6600,254.8800,259.1100,4931105
69,2025-09-08,248.6300,257.1500,247.0200,256.0900,6940270
70,2025-09-05,248.2300,249.0300,245.4500,248.5300,3147478
71,2025-09-04,245.4200,249.2800,242.8500,247.1800,4765087
72,2025-09-03,240.0200,244.2500,239.4100,244.1000,3156289
73,2025-09-02,240.9000,241.5500,238.2500,241.5000,3469501
74,2025-08-29,245.2300,245.4599,241.7200,243.4900,2967558
75,2025-08-28,245.4300,245.8800,243.3600,245.7300,2820817
76,2025-08-27,242.8700,245.9600,242.0000,244.8400,3698372
77,2025-08-26,241.0200,244.9800,240.3800,242.6300,5386582
78,2025-08-25,242.5650,242.5650,239.4300,239.4300,3513327
79,2025-08-22,240.7400,243.6800,240.2200,242.0900,3134882
80,2025-08-21,242.2100,242.5000,238.6500,239.4000,2991902
81,2025-08-20,242.1100,242.8800,240.3400,242.5500,3240064
82,2025-08-19,240.0000,242.8300,239.4900,241.2800,3328305
83,2025-08-18,239.5700,241.4200,239.1158,239.4500,3569594
84,2025-08-15,237.6100,240.6200,236.7700,239.7200,4344322
85,2025-08-14,238.2500,239.0000,235.6200,237.1100,4556725
86,2025-08-13,236.2000,240.8411,236.2000,240.0700,5663562
87,2025-08-12,236.5300,237.9600,233.3600,234.7700,8800597
88,2025-08-11,242.2400,243.1500,234.7000,236.3000,9381960
89,2025-08-08,248.8800,249.4800,241.6500,242.2700,6828390
90,2025-08-07,252.8100,255.0000,248.8750,250.1600,6251285
91,2025-08-06,251.5300,254.3200,249.2800,252.2800,3692105
92,2025-08-05,252.0000,252.8000,248.9950,250.6700,5823016
93,2025-08-04,251.0500,252.0800,248.1100,251.9800,5280588
94,2025-08-01,251.4050,251.4791,245.6100,250.0500,9683404
95,2025-07-31,259.5700,259.9900,252.2200,253.1500,6739092
96,2025-07-30,261.6000,262.0000,258.9000,260.2600,3718290
97,2025-07-29,264.3000,265.7999,261.0200,262.4100,4627265
98,2025-07-28,260.3000,264.0000,259.6100,263.2100,5192516
99,2025-07-25,260.0200,260.8000,256.3500,259.7200,7758653
